ID,Name,Age,Department,Score,Passed
1,Gagan,20,IT,78,TRUE
2,Adhikari,19,IT,82,TRUE
3,Bibek,21,Finance,75,TRUE
4,Gagan,18,IT,88,TRUE
5,Suman,22,,69,FALSE
6,Sauzan,20,Finance,91,TRUE
7,Rohit,23,IT,84,TRUE
8,Nishan,21,Marketing,73,TRUE
9,Pratik,,Finance,80,
10,Aman,22,HR,77,TRUE
11,Riya,20,Marketing,85,TRUE
12,Sneha,21,IT,90,TRUE
13,Anisha,19,Finance,72,TRUE
13,Kiran,24,HR,68,FALSE
15,Sujal,18,IT,95,TRUE
16,Manish,,Marketing,81,TRUE
17,Ramesh,25,Finance,74,TRUE
18,Suresh,26,HR,79,TRUE
19,Nabin,22,IT,86,
20,Sauzan,20,Marketing,83,TRUE
21,Aakash,,IT,88,TRUE
22,Dipesh,24,Finance,,TRUE
23,Sarita,23,HR,70,FALSE
24,Bishal,22,,92,TRUE
25,Sandip,25,Marketing,89,TRUE
